"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)","Datum und Vorlage","Stimmberechtigte","Abgegebene Stimmen","Beteiligung in %","Gültige Stimmzettel","Ja","Nein","Ja in %"
"......Gsteigwiler","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",341,123,36.1,119,54,65,45.4
"......Gündlischwand","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",223,95,42.6,95,48,47,50.5
"......Habkern","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",473,150,31.7,148,52,96,35.1
"......Hofstetten bei Brienz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",424,151,35.6,150,57,93,38.0
"......Interlaken","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3548,1501,42.3,1483,811,672,54.7
"......Iseltwald","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",330,132,40.0,132,76,56,57.6
"......Lauterbrunnen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1708,703,41.2,696,263,433,37.8
"......Leissigen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",741,303,40.9,297,160,137,53.9
"......Lütschental","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",193,75,38.9,75,31,44,41.3
"......Matten bei Interlaken","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2725,1040,38.2,1022,565,457,55.3
"......Niederried bei Interlaken","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",259,109,42.1,108,47,61,43.5
"......Oberried am Brienzersee","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",370,133,35.9,131,51,80,38.9
"......Ringgenberg (BE)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1971,683,34.7,675,348,327,51.6
"......Saxeten","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",91,29,31.9,29,9,20,31.0
"......Schwanden bei Brienz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",482,197,40.9,196,85,111,43.4
"......Unterseen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4012,1705,42.5,1689,923,766,54.6
"......Wilderswil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1866,697,37.4,688,375,313,54.5
"......Guttannen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",238,78,32.8,77,30,47,39.0
"......Hasliberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",857,347,40.5,345,130,215,37.7
"......Innertkirchen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",885,285,32.2,283,100,183,35.3
"......Meiringen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3295,1542,46.8,1508,655,853,43.4
"......Schattenhalb","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",426,155,36.4,153,61,92,39.9
"......BE-Ausland-CH","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",...,...,...,...,...,...,...
"- Luzern","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",261034,119349,45.7,116965,55272,61693,47.3
">> Wahlkreis Luzern-Stadt","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",51782,22717,43.9,22179,12768,9411,57.6
"......Luzern","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",51782,22717,43.9,22179,12768,9411,57.6
">> Wahlkreis Luzern-Land","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",65593,31218,47.6,30700,15003,15697,48.9
"......Adligenswil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3856,1936,50.2,1905,912,993,47.9
"......Buchrain","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3875,1761,45.4,1717,790,927,46.0
"......Dierikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",971,387,39.9,380,186,194,48.9
"......Ebikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",8177,3426,41.9,3378,1716,1662,50.8
"......Gisikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",761,327,43.0,318,117,201,36.8
"......Greppen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",655,320,48.9,317,129,188,40.7
"......Honau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",245,116,47.3,114,49,65,43.0
"......Horw","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",9209,5185,56.3,5071,2546,2525,50.2
"......Kriens","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",18371,8328,45.3,8190,4343,3847,53.0
"......Malters","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4777,2098,43.9,2063,1015,1048,49.2
"......Meggen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4786,2694,56.3,2677,1131,1546,42.2
"......Meierskappel","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",851,394,46.3,383,178,205,46.5
"......Root","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2719,1055,38.8,1043,459,584,44.0
"......Schwarzenberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1201,551,45.9,541,212,329,39.2
"......Udligenswil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1527,790,51.7,782,327,455,41.8
"......Vitznau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",782,387,49.5,383,241,142,62.9
"......Weggis","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2830,1463,51.7,1438,652,786,45.3
">> Wahlkreis Hochdorf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",42885,20773,48.4,20412,9663,10749,47.3
"......Aesch (LU)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",731,316,43.2,309,119,190,38.5
"......Altwis","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",268,124,46.3,124,61,63,49.2
"......Ballwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1859,868,46.7,858,379,479,44.2
"......Emmen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",16192,8015,49.5,7875,4315,3560,54.8
"......Ermensee","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",594,271,45.6,266,82,184,30.8
"......Eschenbach (LU)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2448,1261,51.5,1234,503,731,40.8
"......Hitzkirch","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3175,1444,45.5,1420,611,809,43.0
"......Hochdorf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5673,2687,47.4,2638,1242,1396,47.1
"......Hohenrain","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1690,786,46.5,770,320,450,41.6
"......Inwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1587,741,46.7,723,266,457,36.8
"......Rain","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1725,807,46.8,793,267,526,33.7
"......Römerswil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1157,538,46.5,534,215,319,40.3
"......Rothenburg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5152,2655,51.5,2614,1183,1431,45.3
"......Schongau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",634,260,41.0,254,100,154,39.4
">> Wahlkreis Sursee","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",46381,21692,46.8,21220,9031,12189,42.6
"......Beromünster","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4106,2422,59.0,2359,1000,1359,42.4
"......Büron","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1296,534,41.2,522,223,299,42.7
"......Buttisholz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2104,957,45.5,945,375,570,39.7
"......Eich","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1269,619,48.8,600,227,373,37.8
"......Geuensee","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1529,574,37.5,565,248,317,43.9
"......Grosswangen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2045,838,41.0,822,260,562,31.6
"......Hildisrieden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1433,767,53.5,755,310,445,41.1
"......Knutwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1420,569,40.1,546,244,302,44.7
"......Mauensee","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",839,386,46.0,382,170,212,44.5
"......Neuenkirch","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4247,1879,44.2,1830,778,1052,42.5
"......Nottwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2340,1030,44.0,1008,426,582,42.3
"......Oberkirch","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2546,1175,46.2,1157,531,626,45.9
"......Rickenbach (LU)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1974,1125,57.0,1109,406,703,36.6
"......Ruswil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4840,2055,42.5,2011,866,1145,43.1
"......Schenkon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1992,983,49.3,962,358,604,37.2
"......Schlierbach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",461,243,52.7,242,97,145,40.1
"......Sempach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2939,1462,49.7,1440,609,831,42.3
"......Sursee","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",6290,2905,46.2,2816,1405,1411,49.9
"......Triengen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2711,1169,43.1,1149,498,651,43.3
">> Wahlkreis Willisau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",34387,14408,41.9,14107,5978,8129,42.4
"......Alberswil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",402,163,40.5,159,56,103,35.2
"......Altbüron","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",701,254,36.2,247,81,166,32.8
"......Altishofen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",962,377,39.2,367,141,226,38.4
"......Dagmersellen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3464,1420,41.0,1392,589,803,42.3
"......Ebersecken","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",298,138,46.3,135,51,84,37.8
"......Egolzwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",974,433,44.5,422,146,276,34.6
"......Ettiswil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1764,715,40.5,699,296,403,42.3
"......Fischbach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",478,210,43.9,208,78,130,37.5
"......Gettnau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",683,303,44.4,297,125,172,42.1
"......Grossdietwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",612,225,36.8,219,89,130,40.6
"......Hergiswil bei Willisau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1328,521,39.2,511,175,336,34.2
"......Luthern","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",994,380,38.2,379,132,247,34.8
"......Menznau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1999,781,39.1,757,252,505,33.3
"......Nebikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1492,619,41.5,608,245,363,40.3
"......Pfaffnau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1617,637,39.4,618,326,292,52.8
"......Reiden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4161,1707,41.0,1673,836,837,50.0
"......Roggliswil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",468,178,38.0,177,70,107,39.5
"......Schötz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2526,1243,49.2,1220,501,719,41.1
"......Ufhusen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",633,231,36.5,223,96,127,43.0
"......Wauwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1037,427,41.2,419,164,255,39.1
"......Wikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",966,369,38.2,364,226,138,62.1
"......Zell (LU)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1405,524,37.3,512,211,301,41.2
"......Willisau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5423,2553,47.1,2501,1092,1409,43.7
">> Wahlkreis Entlebuch","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",16360,7119,43.5,6971,2270,4701,32.6
"......Doppleschwand","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",515,216,41.9,214,60,154,28.0
"......Entlebuch","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2473,1029,41.6,1007,332,675,33.0
"......Flühli","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1241,683,55.0,674,107,567,15.9
"......Hasle (LU)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1268,568,44.8,551,139,412,25.2
"......Romoos","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",530,217,40.9,211,63,148,29.9
"......Schüpfheim","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2914,1304,44.7,1282,428,854,33.4
"......Werthenstein","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1329,578,43.5,572,239,333,41.8
"......Escholzmatt-Marbach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3286,1336,40.7,1307,436,871,33.4
"......Wolhusen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2804,1188,42.4,1153,466,687,40.4
"......LU-Ausland-CH","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3646,1422,39.0,1376,559,817,40.6
"- Uri","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",26106,12999,49.8,12670,4895,7775,38.6
">> Kanton Uri","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",25745,12888,50.1,12561,4840,7721,38.5
"......Altdorf (UR)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",6394,3287,51.4,3228,1318,1910,40.8
"......Andermatt","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",939,493,52.5,486,145,341,29.8
"......Attinghausen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1143,609,53.3,596,211,385,35.4
"......Bauen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",136,65,47.8,63,26,37,41.3
"......Bürglen (UR)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2934,1452,49.5,1417,555,862,39.2
"......Erstfeld","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2615,1240,47.4,1218,535,683,43.9
"......Flüelen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1401,685,48.9,677,252,425,37.2
"......Göschenen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",325,168,51.7,167,66,101,39.5
"......Gurtnellen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",450,237,52.7,227,109,118,48.0
"......Hospental","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",146,78,53.4,78,31,47,39.7
"......Isenthal","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",389,185,47.6,181,63,118,34.8
"......Realp","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",125,72,57.6,72,27,45,37.5
"......Schattdorf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3739,1928,51.6,1901,722,1179,38.0
"......Seedorf (UR)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1260,589,46.7,580,194,386,33.4
"......Seelisberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",460,210,45.7,204,91,113,44.6
"......Silenen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1538,558,36.3,541,186,355,34.4
"......Sisikon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",273,124,45.4,118,38,80,32.2
"......Spiringen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",627,421,67.1,338,120,218,35.5
"......Unterschächen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",520,316,60.8,304,88,216,28.9
"......Wassen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",331,171,51.7,165,63,102,38.2
"......UR-Ausland-CH","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",361,111,30.7,109,55,54,50.5
"- Schwyz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",98679,50033,50.7,49587,21230,28357,42.8
">> Bezirk Einsiedeln","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",10098,5061,50.1,5005,2180,2825,43.6
"......Einsiedeln","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",10098,5061,50.1,5005,2180,2825,43.6
">> Bezirk Gersau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1470,846,57.6,836,402,434,48.1
"......Gersau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1470,846,57.6,836,402,434,48.1
">> Bezirk Höfe","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",17781,8638,48.6,8564,3287,5277,38.4
"......Feusisberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3118,1459,46.8,1447,556,891,38.4
"......Freienbach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",10032,4807,47.9,4764,1906,2858,40.0
"......Wollerau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4631,2372,51.2,2353,825,1528,35.1
">> Bezirk Küssnacht (SZ)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",8059,4601,57.1,4545,1951,2594,42.9
"......Küssnacht (SZ)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",8059,4601,57.1,4545,1951,2594,42.9
">> Bezirk March","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",25635,11408,44.5,11329,4990,6339,44.0
"......Altendorf","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4126,1910,46.3,1899,722,1177,38.0
"......Galgenen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3163,1455,46.0,1442,685,757,47.5
"......Innerthal","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",154,83,53.9,82,33,49,40.2
"......Lachen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4790,2206,46.1,2191,932,1259,42.5
"......Reichenburg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2111,933,44.2,926,436,490,47.1
"......Schübelbach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5185,2048,39.5,2035,945,1090,46.4
"......Tuggen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2101,939,44.7,934,388,546,41.5
"......Vorderthal","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",773,368,47.6,365,150,215,41.1
"......Wangen (SZ)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3232,1466,45.4,1455,699,756,48.0
">> Bezirk Schwyz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",35636,19479,54.7,19308,8420,10888,43.6
"......Alpthal","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",407,205,50.4,202,67,135,33.2
"......Arth","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",6767,3439,50.8,3409,1648,1761,48.3
"......Illgau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",592,342,57.8,339,115,224,33.9
"......Ingenbohl","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",5822,3276,56.3,3249,1471,1778,45.3
"......Lauerz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",750,432,57.6,429,183,246,42.7
"......Morschach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",716,368,51.4,363,177,186,48.8
"......Muotathal","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2614,1536,58.8,1526,493,1033,32.3
"......Oberiberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",649,373,57.5,370,153,217,41.4
"......Riemenstalden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",56,35,62.5,35,12,23,34.3
"......Rothenthurm","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1420,811,57.1,807,276,531,34.2
"......Sattel","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1301,623,47.9,620,239,381,38.5
"......Schwyz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",9795,5680,58.0,5621,2446,3175,43.5
"......Steinen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2346,1244,53.0,1235,514,721,41.6
"......Steinerberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",647,318,49.1,314,151,163,48.1
"......Unteriberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1754,797,45.4,789,475,314,60.2
"......SZ-Ausland-CH","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",...,...,...,...,...,...,...
"- Obwalden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",25299,13772,54.4,13354,5535,7819,41.4
">> Kanton Obwalden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",25299,13772,54.4,13354,5535,7819,41.4
"......Alpnach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3923,2135,54.4,2084,856,1228,41.1
"......Engelberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2564,1398,54.5,1372,606,766,44.2
"......Giswil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2564,1455,56.7,1387,584,803,42.1
"......Kerns","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4165,2000,48.0,1952,750,1202,38.4
"......Lungern","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1543,856,55.5,827,326,501,39.4
"......Sachseln","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3356,1870,55.7,1819,769,1050,42.3
"......Sarnen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",7184,4058,56.5,3913,1644,2269,42.0
"......OW-Ausland-CH","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",...,...,...,...,...,...,...
"- Nidwalden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",30447,14731,48.4,14302,6000,8302,42.0
">> Kanton Nidwalden","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",30447,14731,48.4,14302,6000,8302,42.0
"......Beckenried","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2465,1273,51.6,1245,587,658,47.1
"......Buochs","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3850,2028,52.7,1938,793,1145,40.9
"......Dallenwil","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1346,604,44.9,589,258,331,43.8
"......Emmetten","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",925,361,39.0,355,142,213,40.0
"......Ennetbürgen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3368,1650,49.0,1604,617,987,38.5
"......Ennetmoos","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1530,661,43.2,642,281,361,43.8
"......Hergiswil (NW)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3918,1895,48.4,1858,713,1145,38.4
