 

stn;time;tre200jx;rre150j0;sremaxdv
WAE;20101219;6.3;0.0;16
WAE;20101220;7.4;0.9;24
WAE;20101221;5.4;0.0;2
WAE;20101222;7.2;0.0;53
WAE;20101223;4.0;0.0;0
WAE;20101224;2.8;9.4;0
WAE;20101225;-2.4;1.1;0
WAE;20101226;-5.4;0.0;63
WAE;20101227;-3.8;0.0;39
WAE;20101228;0.5;1.9;0
WAE;20101229;2.6;0.0;0
WAE;20101230;2.7;0.0;0
WAE;20101231;2.0;0.0;0
WAE;20110101;2.1;0.0;0
WAE;20110102;0.8;0.1;0
WAE;20110103;-0.9;0.0;91
WAE;20110104;-1.7;0.0;46
WAE;20110105;1.6;0.0;100
WAE;20110106;7.6;1.7;24
WAE;20110107;11.0;0.2;63
WAE;20110108;12.6;0.8;74
WAE;20110109;11.4;0.0;10
WAE;20110110;4.1;0.1;0
WAE;20110111;4.5;2.1;1
WAE;20110112;6.6;1.1;0
WAE;20110113;11.9;3.6;10
WAE;20110114;10.8;0.1;0
WAE;20110115;9.6;0.0;53
WAE;20110116;9.1;0.0;100
WAE;20110117;6.7;0.0;79
WAE;20110118;7.0;0.0;16
WAE;20110119;5.2;7.0;0
WAE;20110120;0.3;1.8;2
WAE;20110121;-0.6;0.0;1
WAE;20110122;-2.3;0.0;0
WAE;20110123;-3.3;0.0;29
WAE;20110124;-1.4;0.0;16
WAE;20110125;2.5;0.0;10
WAE;20110126;3.0;0.0;12
WAE;20110127;2.5;0.0;4
WAE;20110128;1.8;0.0;0
WAE;20110129;0.7;0.0;56
WAE;20110130;-2.4;0.0;0
WAE;20110131;-2.5;0.0;0
WAE;20110201;-1.9;0.0;0
WAE;20110202;-2.2;0.0;2
WAE;20110203;1.6;0.0;48
